Country,Year,GDP,Country_Code,GDP_Scaled,GDP_Prev_Year
Brunei,2021,14006.0,0,0.0014106988813863235,0.0
Brunei,2022,16682.0,0,0.0032982139846812215,0.0014106988813863235
Brunei,2023,15095.0,0,0.0021788244223011743,0.0032982139846812215
Brunei,2024,15463.0,0,0.0024383930164762584,0.0021788244223011743
Brunei,2025,16007.0,0,0.002822103112213337,0.0024383930164762584
Cambodia,2021,36797.0,1,0.017486317984224155,0.016146859396347843
Cambodia,2022,39838.0,1,0.019631285633372055,0.017486317984224155
Cambodia,2023,43304.0,1,0.022076026794814553,0.019631285633372055
Cambodia,2024,47328.0,1,0.02491435294416383,0.022076026794814553
Cambodia,2025,49799.0,1,0.02665727141211663,0.02491435294416383
Indonesia,2021,1186510.0,2,0.8284357394918803,0.7385354265283335
Indonesia,2022,1319101.0,2,0.9219587271828272,0.8284357394918803
Indonesia,2023,1371169.0,2,0.9586848618608388,0.9219587271828272
Indonesia,2024,1396300.0,2,0.9764109986548986,0.9586848618608388
Indonesia,2025,1429743.0,2,1.0,0.9764109986548986
Laos,2021,18533.0,3,0.004603815799404262,0.004588298111709013
Laos,2022,15121.0,3,0.0021971635077591978,0.004603815799404262
Laos,2023,14978.0,3,0.0020962985377400746,0.0021971635077591978
Laos,2024,15879.0,3,0.0027318183838046135,0.0020962985377400746
Laos,2025,16322.0,3,0.003044288186031684,0.0027318183838046135
Malaysia,2021,373785.0,4,0.2551806153045311,0.22955597547358925
Malaysia,2022,407605.0,4,0.2790355333887738,0.2551806153045311
Malaysia,2023,399705.0,4,0.2734632728072978,0.2790355333887738
Malaysia,2024,419617.0,4,0.28750819087038004,0.2734632728072978
Malaysia,2025,444984.0,4,0.3054007901324435,0.28750819087038004
Myanmar,2021,58264.0,5,0.03262805442758424,0.037824363757170756
Myanmar,2022,61723.0,5,0.03506785814294188,0.03262805442758424
Myanmar,2023,61466.0,5,0.03488658333668374,0.03506785814294188
Myanmar,2024,61176.0,5,0.03468203199888272,0.03488658333668374
Myanmar,2025,64944.0,5,0.037339788691414556,0.03468203199888272
Singapore,2021,436591.0,6,0.29948079227670577,0.23781561742410615
Singapore,2022,509018.0,6,0.35056713621778934,0.29948079227670577
Singapore,2023,505440.0,6,0.3480433959189892,0.35056713621778934
Singapore,2024,547387.0,6,0.37763068890774526,0.3480433959189892
Singapore,2025,564774.0,6,0.3898945996330772,0.37763068890774526
Thailand,2021,506195.0,7,0.34857593474671256,0.34453216640321865
Thailand,2022,495645.0,7,0.3411344981473997,0.34857593474671256
Thailand,2023,515906.0,7,0.35542558316528383,0.3411344981473997
Thailand,2024,526411.0,7,0.3628352790397655,0.35542558316528383
Thailand,2025,546224.0,7,0.3768103675082191,0.3628352790397655
Vietnam,2021,370076.0,8,0.2525644742290002,0.23580113942148648
Vietnam,2022,411068.0,8,0.2814781585018942,0.2525644742290002
Vietnam,2023,433008.0,8,0.2969535252307022,0.2814781585018942
Vietnam,2024,459472.0,8,0.315619892829206,0.2969535252307022
Vietnam,2025,490970.0,8,0.3378369895121592,0.315619892829206
